teks,entitas
@ajimasaid baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 10, ""label"": ""PER""}]"
"Prof. Dr. Ing. B.J. Habibie baru saja pindah ke Dusun Karangasem RT 07/RW 20, Kel. Cihapit, Kec. Sukasari, Kab. Sleman.","[{""start"": 0, ""end"": 27, ""label"": ""PER""}, {""start"": 48, ""end"": 118, ""label"": ""ADR""}]"
Kemarin mobilnya Gus Miftah mogok di jalan tol.,"[{""start"": 17, ""end"": 27, ""label"": ""PER""}]"
@profdringbjhabibie baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 19, ""label"": ""PER""}]"
Saya punya saudara di jakarta namanya Jenderal Gatot Nurmantyo.,"[{""start"": 38, ""end"": 62, ""label"": ""PER""}]"
WALI KOTA SURABAYA CUT NYAK DIEN MENYAMPAIKAN PERNYATAAN RESMI KEMARIN.,"[{""start"": 19, ""end"": 32, ""label"": ""PER""}]"
PEMERINTAH UMUMKAN KEBIJAKAN SUBSIDI BARU.,[]
"Rumah kost berada di 6 Churchill Boulevard, New York, 42552, Amerika Serikat.","[{""start"": 21, ""end"": 76, ""label"": ""ADR""}]"
"Di antara peserta terdapat Jean-Pierre Dubois, Eko, Ir. Djoko Kirmanto, Dipl.HE, dan Nadiem Makarim.","[{""start"": 27, ""end"": 45, ""label"": ""PER""}, {""start"": 47, ""end"": 50, ""label"": ""PER""}, {""start"": 52, ""end"": 79, ""label"": ""PER""}, {""start"": 85, ""end"": 99, ""label"": ""PER""}]"
"Kantor kami beralamat di 308 Park Drive, Kuala Lumpur, Malaysia.","[{""start"": 25, ""end"": 63, ""label"": ""ADR""}]"
"Sesuai catatan sipil, domisili tercatat di Dusun Sumber RT 02/RW 04, Kel. Sukajadi, Kec. Buah Batu, Kab. Sidoarjo.","[{""start"": 43, ""end"": 113, ""label"": ""ADR""}]"
Acara tersebut diselenggarakan di PBB.,[]
Anggun C. Sasmi resmi menjabat sebagai Gubernur DKI Jakarta mulai bulan depan.,"[{""start"": 0, ""end"": 15, ""label"": ""PER""}]"
"Kost berada di Dusun Krajan RT 02/RW 07, Kel. Antapani, Kec. Menteng, Kab. Sleman.","[{""start"": 15, ""end"": 81, ""label"": ""ADR""}]"
Gatot Subroto bertemu dengan rekannya di PT Astra International.,"[{""start"": 0, ""end"": 13, ""label"": ""PER""}]"
"Menurut Ustadz Abdul Somad, Tangerang perlu dievaluasi ulang.","[{""start"": 8, ""end"": 26, ""label"": ""PER""}]"
Kami sudah lama menetap di Sulawesi Selatan.,[]
"Ketua DPR RI, Agus, menyampaikan pernyataan resmi kemarin.","[{""start"": 14, ""end"": 18, ""label"": ""PER""}]"
"Di antara peserta terdapat Dian Sastrowardoyo, Anthony Albanese, Sandiaga Uno, dan Raden Mas Soewardi Suryaningrat.","[{""start"": 27, ""end"": 45, ""label"": ""PER""}, {""start"": 47, ""end"": 63, ""label"": ""PER""}, {""start"": 65, ""end"": 77, ""label"": ""PER""}, {""start"": 83, ""end"": 114, ""label"": ""PER""}]"
"Paket untuk Fajar Nugraha dikirim ke Apartemen Taman Anggrek Residence Tower Melati Lantai 14, Tangerang.","[{""start"": 12, ""end"": 25, ""label"": ""PER""}, {""start"": 37, ""end"": 104, ""label"": ""ADR""}]"
"Di antara peserta terdapat Lionel Messi, Tigor Silaban, dan LeBron James.","[{""start"": 27, ""end"": 39, ""label"": ""PER""}, {""start"": 41, ""end"": 54, ""label"": ""PER""}, {""start"": 60, ""end"": 72, ""label"": ""PER""}]"
"Kami sedang menunggu tanda tangan dari Hartono, S.T., M.T. untuk mencairkan dana.","[{""start"": 39, ""end"": 58, ""label"": ""PER""}]"
"Paket untuk Laksamana Muda TNI Sinar Adi dikirim ke Jalan Gatot Subroto, RT 06/RW 14, Kel. Sukajadi, Balikpapan.","[{""start"": 12, ""end"": 40, ""label"": ""PER""}, {""start"": 52, ""end"": 111, ""label"": ""ADR""}]"
Kemarin mobilnya Muhammad Ikbal mogok di jalan tol.,"[{""start"": 17, ""end"": 31, ""label"": ""PER""}]"
"Surat untuk Siti Aminah dialamatkan ke Gg. Basuki Rahmat No. 48, Jakarta.","[{""start"": 12, ""end"": 23, ""label"": ""PER""}, {""start"": 39, ""end"": 72, ""label"": ""ADR""}]"
MENTERI KEUANGAN RI JEFF BEZOS MERESMIKAN ACARA TERSEBUT.,"[{""start"": 20, ""end"": 30, ""label"": ""PER""}]"
"MENTERI LUAR NEGERI, PRAMOEDYA ANANTA TOER, MENYAMPAIKAN PERNYATAAN RESMI KEMARIN.","[{""start"": 21, ""end"": 42, ""label"": ""PER""}]"
"Halo semua, nama gue René Descartes, salam kenal ya!","[{""start"": 21, ""end"": 35, ""label"": ""PER""}]"
Lisa dan Mahatma Gandhi kompak hadir dalam acara itu.,"[{""start"": 0, ""end"": 4, ""label"": ""PER""}, {""start"": 9, ""end"": 23, ""label"": ""PER""}]"
Kami sedang menunggu tanda tangan dari Greysia Polii untuk mencairkan dana.,"[{""start"": 39, ""end"": 52, ""label"": ""PER""}]"
Kantor pusatnya berlokasi di Kementerian Keuangan.,[]
"Nomor kontak dr. Tirta Mandira Hudhi, M.Ked. bisa dihubungi melalui Palembang.","[{""start"": 13, ""end"": 44, ""label"": ""PER""}]"
"KTP menunjukkan alamat di 481 Park Road, Sydney, Australia.","[{""start"": 26, ""end"": 58, ""label"": ""ADR""}]"
"Nama Lengkap: Dewi
Alamat: 536 Victoria Road, Berlin, 69650, Jerman.","[{""start"": 14, ""end"": 18, ""label"": ""PER""}, {""start"": 27, ""end"": 67, ""label"": ""ADR""}]"
I Gusti Ngurah Rai adalah salah satu tokoh penting dalam sejarah.,"[{""start"": 0, ""end"": 18, ""label"": ""PER""}]"
Rapat tersebut dihadiri oleh Eko dan Suharto.,"[{""start"": 29, ""end"": 32, ""label"": ""PER""}, {""start"": 37, ""end"": 44, ""label"": ""PER""}]"
Kemarin saya pergi ke Korea untuk urusan pekerjaan.,[]
"IA BARU SAJA PINDAH KE JALAN CEMPAKA PUTIH NO. 162A, RT 04/RW 13, KEL. MENTENG, MALANG.","[{""start"": 23, ""end"": 86, ""label"": ""ADR""}]"
Rapat tersebut dihadiri oleh Budi Gunadi Sadikin dan Tubagus Chasan Sochib.,"[{""start"": 29, ""end"": 48, ""label"": ""PER""}, {""start"": 53, ""end"": 74, ""label"": ""PER""}]"
"Rumah kost berada di 338 Churchill Avenue, Kuala Lumpur, 84043, Malaysia.","[{""start"": 21, ""end"": 72, ""label"": ""ADR""}]"
@wahyu baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 6, ""label"": ""PER""}]"
"Menurut Ir. Djoko Kirmanto, Dipl.HE, Jakarta perlu dievaluasi ulang.","[{""start"": 8, ""end"": 35, ""label"": ""PER""}]"
Pihak kepolisian masih memeriksa Justin Trudeau sebagai saksi utama.,"[{""start"": 33, ""end"": 47, ""label"": ""PER""}]"
Xi Jinping baru saja pindah dari Balikpapan.,"[{""start"": 0, ""end"": 10, ""label"": ""PER""}]"
"Menurut Muhammad Hasan Sadikin, Bandung perlu dievaluasi ulang.","[{""start"": 8, ""end"": 30, ""label"": ""PER""}]"
"Nama: Mahatma Gandhi, Alamat: Perumahan Griya Asri Blok E5 No. 49, Bandung.","[{""start"": 6, ""end"": 20, ""label"": ""PER""}, {""start"": 30, ""end"": 74, ""label"": ""ADR""}]"
"Panitia mengundang R.A. Kartini, Tubagus Hasanuddin, Nyoman, dan Anies Baswedan sebagai narasumber.","[{""start"": 19, ""end"": 31, ""label"": ""PER""}, {""start"": 33, ""end"": 51, ""label"": ""PER""}, {""start"": 53, ""end"": 59, ""label"": ""PER""}, {""start"": 65, ""end"": 79, ""label"": ""PER""}]"
"Alamat saya di Gg. Cemara No. 135, RT 05/RW 20, Desa Sukamaju, Kec. Tegalsari, Bogor, DI Yogyakarta, 87779.","[{""start"": 15, ""end"": 106, ""label"": ""ADR""}]"
"Sesuai catatan sipil, domisili tercatat di Jl. Flamboyan No. 32B, RT 16/RW 15, Kel. Gubeng, Kec. Sukasari, Medan, Jawa Tengah, 84532.","[{""start"": 43, ""end"": 132, ""label"": ""ADR""}]"
Prof. Dr. Ing. B.J. Habibie bekerja di Bulog.,"[{""start"": 0, ""end"": 27, ""label"": ""PER""}]"
"Halo semua, nama gue Fitri, salam kenal ya!","[{""start"": 21, ""end"": 26, ""label"": ""PER""}]"
"Sinta, I Gusti Ngurah Rai, serta Erick Thohir kompak hadir dalam acara itu.","[{""start"": 0, ""end"": 5, ""label"": ""PER""}, {""start"": 7, ""end"": 25, ""label"": ""PER""}, {""start"": 33, ""end"": 45, ""label"": ""PER""}]"
Pihak kepolisian masih memeriksa Cristiano Ronaldo sebagai saksi utama.,"[{""start"": 33, ""end"": 50, ""label"": ""PER""}]"
Halo bukan bagian dari agenda rapat kali ini.,[]
Kemarin saya bertemu dengan Letjen (Purn) Prabowo Subianto di New York.,"[{""start"": 28, ""end"": 58, ""label"": ""PER""}]"
"Penerima: Putri, Tujuan: Jl. Kenanga No. 97, RT 10/RW 09, Kel. Antapani, Yogyakarta","[{""start"": 10, ""end"": 15, ""label"": ""PER""}, {""start"": 25, ""end"": 83, ""label"": ""ADR""}]"
MEREKA BERADA DI LOKASI YANG SUDAH DITENTUKAN.,[]
"Kantor kami beralamat di 74 Washington Avenue, Singapura, Singapura.","[{""start"": 25, ""end"": 67, ""label"": ""ADR""}]"
Mereka berada di lokasi yang sudah ditentukan.,[]
"KTP atas nama Fajar beralamat di Gang Ahmad Dahlan No. 171, Surabaya.","[{""start"": 14, ""end"": 19, ""label"": ""PER""}, {""start"": 33, ""end"": 68, ""label"": ""ADR""}]"
Surat itu dikirim oleh Lincoln di RS Siloam minggu lalu.,"[{""start"": 23, ""end"": 30, ""label"": ""PER""}]"
"Kost berada di 216 Lincoln Street, Tokyo, 84020, Jepang.","[{""start"": 15, ""end"": 55, ""label"": ""ADR""}]"
"Silakan kirim paket ke 635 Jefferson Drive, Kuala Lumpur, Malaysia.","[{""start"": 23, ""end"": 66, ""label"": ""ADR""}]"
"Kost berada di Jalan Kebon Jeruk No. 132A, RT 02/RW 04, Desa Sukamaju, Kec. Menteng, Jakarta, DI Yogyakarta, 51180.","[{""start"": 15, ""end"": 114, ""label"": ""ADR""}]"
Banyak pihak yang setuju dengan analisis Jackie Chan mengenai krisis ekonomi.,"[{""start"": 41, ""end"": 52, ""label"": ""PER""}]"
Saya tinggal di Palembang sejak kecil.,[]
Dokumen itu merujuk pada Jakarta.,[]
"Nama Lengkap: Prof. Dr. Ing. B.J. Habibie
Alamat: Gang Diponegoro No. 104A, Yogyakarta.","[{""start"": 14, ""end"": 41, ""label"": ""PER""}, {""start"": 50, ""end"": 86, ""label"": ""ADR""}]"
Ia baru saja pindah ke Tokyo.,[]
@madewirawanshmh baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 16, ""label"": ""PER""}]"
"Joe Taslim baru saja pindah ke Gang Cempaka Putih No. 174A, RT 13/RW 07, Kel. Sukajadi, Kec. Menteng, Balikpapan, Kalimantan Timur, 83678.","[{""start"": 0, ""end"": 10, ""label"": ""PER""}, {""start"": 31, ""end"": 137, ""label"": ""ADR""}]"
"KOST BERADA DI GG. MAWAR, RT 16/RW 19, DESA CIBOGO, TANGERANG.","[{""start"": 15, ""end"": 61, ""label"": ""ADR""}]"
Bambang Pamungkas resmi menjabat sebagai Direktur Utama mulai bulan depan.,"[{""start"": 0, ""end"": 17, ""label"": ""PER""}]"
Kantor pusatnya berlokasi di Denpasar.,[]
EKONOMI NASIONAL TUMBUH 5 PERSEN KUARTAL INI.,[]
"Presiden AS ke-46, Sandiaga Uno, menyampaikan pernyataan resmi kemarin.","[{""start"": 19, ""end"": 31, ""label"": ""PER""}]"
Kemarin saya bertemu dengan Jean-Pierre Dubois di stasiun.,"[{""start"": 28, ""end"": 46, ""label"": ""PER""}]"
Apakah kamu sudah menghubungi Alif Santoso hari ini?,"[{""start"": 30, ""end"": 42, ""label"": ""PER""}]"
"Nama Lengkap: Washington
Alamat: Jalan Melati, RT 06/RW 06, Kel. Antapani, Bogor.","[{""start"": 14, ""end"": 24, ""label"": ""PER""}, {""start"": 33, ""end"": 80, ""label"": ""ADR""}]"
"Rapat RT akan diadakan di Jalan Mawar No. 63B, RT 02/RW 01, Desa Sukamaju, Palembang.","[{""start"": 26, ""end"": 84, ""label"": ""ADR""}]"
"Cak Lontong, selaku Kapolri, hadir dalam konferensi pers.","[{""start"": 0, ""end"": 11, ""label"": ""PER""}]"
"""Saya akan segera berangkat,"" ujar Muhammad Hasan Sadikin.","[{""start"": 35, ""end"": 57, ""label"": ""PER""}]"
Proyek ini dipimpin langsung oleh Dian Sastrowardoyo.,"[{""start"": 34, ""end"": 52, ""label"": ""PER""}]"
Rapat membahas Kuala Lumpur akan dilaksanakan besok.,[]
"Rapat RT akan diadakan di Gg. Melati, Makassar.","[{""start"": 26, ""end"": 46, ""label"": ""ADR""}]"
"Halo semua, nama gue Jean-Luc Picard, salam kenal ya!","[{""start"": 21, ""end"": 36, ""label"": ""PER""}]"
Banyak pihak yang setuju dengan analisis Steve Jobs mengenai krisis ekonomi.,"[{""start"": 41, ""end"": 51, ""label"": ""PER""}]"
Kemarin Prof. Dr. Ing. B.J. Habibie membahas Belanda bersama timnya.,"[{""start"": 8, ""end"": 35, ""label"": ""PER""}]"
BANJIR BESAR RENDAM RIBUAN RUMAH DI PESISIR.,[]
PEMERINTAH UMUMKAN KEBIJAKAN SUBSIDI BARU.,[]
Surat dari Tubagus Hasanuddin membahas rencana terkait UU No. 8 Tahun 1999.,"[{""start"": 11, ""end"": 29, ""label"": ""PER""}]"
Acara tahunan itu selalu digelar di Berlin.,[]
Gatot Subroto tinggal di Yth. Bapak/Ibu sejak tahun lalu.,"[{""start"": 0, ""end"": 13, ""label"": ""PER""}]"
"Nama Lengkap: Apriyani Rahayu
Alamat: Gang Rajawali No. 110B, Semarang.","[{""start"": 14, ""end"": 29, ""label"": ""PER""}, {""start"": 38, ""end"": 70, ""label"": ""ADR""}]"
KEBAKARAN HUTAN MELUAS DI KALIMANTAN.,[]
"Menurut Ir. Soekarno, ""keputusan ini sudah final.""","[{""start"": 8, ""end"": 20, ""label"": ""PER""}]"
Atlet mekar dengan indah di taman setiap pagi.,[]
@barackobama baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 12, ""label"": ""PER""}]"
@rogerfederer baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 13, ""label"": ""PER""}]"
"Wali Kota Surabaya, Kim Jong-un, meresmikan acara tersebut.","[{""start"": 20, ""end"": 31, ""label"": ""PER""}]"
François Hollande resmi menjabat sebagai Kepala Sekolah mulai bulan depan.,"[{""start"": 0, ""end"": 17, ""label"": ""PER""}]"
Acara tahunan itu selalu digelar di London.,[]
Rapat dewan direksi besok akan dipimpin oleh Hendra.,"[{""start"": 45, ""end"": 51, ""label"": ""PER""}]"
Budi Gunadi Sadikin bekerja di Yth. Bapak/Ibu.,"[{""start"": 0, ""end"": 19, ""label"": ""PER""}]"
Jangan lupa undang H. Rhoma Irama ke acara ulang tahun minggu depan.,"[{""start"": 19, ""end"": 33, ""label"": ""PER""}]"
"Rapat RT akan diadakan di Gg. Diponegoro No. 131A, Jakarta.","[{""start"": 26, ""end"": 58, ""label"": ""ADR""}]"
"Dalam konferensi persnya, Doni menolak memberikan komentar.","[{""start"": 26, ""end"": 30, ""label"": ""PER""}]"
KEMARIN FAJAR NUGRAHA MEMBAHAS UU NO. 8 TAHUN 1999 BERSAMA TIMNYA.,"[{""start"": 8, ""end"": 21, ""label"": ""PER""}]"
"Kost berada di Apartemen Kalibata City Tower A Lantai 30, Malang.","[{""start"": 15, ""end"": 64, ""label"": ""ADR""}]"
"MENURUT LAPORAN, TANGERANG MENGALAMI PENINGKATAN SIGNIFIKAN.",[]
K.H. Ma'ruf Amin resmi menjabat sebagai Menteri Keuangan RI mulai bulan depan.,"[{""start"": 0, ""end"": 16, ""label"": ""PER""}]"
"Joko Widodo tinggal di Gang Mangga Dua, RT 18/RW 16, Kel. Menteng, Kec. Gubeng, Balikpapan, Kalimantan Timur, 48335.","[{""start"": 0, ""end"": 11, ""label"": ""PER""}, {""start"": 23, ""end"": 115, ""label"": ""ADR""}]"
"Panitia mengundang Rina, Wayan, dan Steve Jobs sebagai narasumber.","[{""start"": 19, ""end"": 23, ""label"": ""PER""}, {""start"": 25, ""end"": 30, ""label"": ""PER""}, {""start"": 36, ""end"": 46, ""label"": ""PER""}]"
"Menurut Perdana Menteri Inggris Volodymyr Zelenskyy, kebijakan ini akan segera direvisi.","[{""start"": 32, ""end"": 51, ""label"": ""PER""}]"
EKONOMI NASIONAL TUMBUH 5 PERSEN KUARTAL INI.,[]
"Tim tersebut beranggotakan Ir. Djoko Kirmanto, Dipl.HE, Irfan Hakim, dan H. Rhoma Irama.","[{""start"": 27, ""end"": 54, ""label"": ""PER""}, {""start"": 56, ""end"": 67, ""label"": ""PER""}, {""start"": 73, ""end"": 87, ""label"": ""PER""}]"
Kost semua diundang untuk hadir dalam acara tersebut.,[]
GUSTI KANJENG RATU HEMAS MENGHADIRI RAPAT MENGENAI BEKASI PAGI INI.,"[{""start"": 0, ""end"": 24, ""label"": ""PER""}]"
"Fajar, menurut laporan itu, akan segera diperbarui.",[]
Rapat dewan direksi besok akan dipimpin oleh Ahmad Yani.,"[{""start"": 45, ""end"": 55, ""label"": ""PER""}]"
"Banyak pihak yang setuju dengan analisis Yusril Ihza Mahendra, S.H., M.Sc. mengenai krisis ekonomi.","[{""start"": 41, ""end"": 74, ""label"": ""PER""}]"
"Sandiaga Uno baru saja pindah ke PO Box 1101, Yogyakarta 53941.","[{""start"": 0, ""end"": 12, ""label"": ""PER""}, {""start"": 33, ""end"": 62, ""label"": ""ADR""}]"
Nomor kontak Beyoncé bisa dihubungi melalui Paris.,"[{""start"": 13, ""end"": 20, ""label"": ""PER""}]"
@radenmassoewardisuryaningrat baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 29, ""label"": ""PER""}]"
"Gubernur DKI Jakarta, Iwan Fals, menyampaikan pernyataan resmi kemarin.","[{""start"": 22, ""end"": 31, ""label"": ""PER""}]"
Jefferson bekerja di Universitas Diponegoro.,"[{""start"": 0, ""end"": 9, ""label"": ""PER""}]"
"""Ini adalah langkah yang tepat,"" tutur Prof. Dr. Anies Baswedan, M.P.P. kepada wartawan.","[{""start"": 39, ""end"": 71, ""label"": ""PER""}]"
Keputusan final berada di tangan Kanjeng Gusti Pangeran Adipati Arya Mangkunegara IX selaku manajer proyek.,"[{""start"": 33, ""end"": 84, ""label"": ""PER""}]"
"Menurut Rudi, Rumah Sakit Bunda perlu dievaluasi ulang.","[{""start"": 8, ""end"": 12, ""label"": ""PER""}]"
"Menurut laporan, Indonesia mengalami peningkatan signifikan.",[]
"Rapat tersebut dihadiri oleh Prof. Ir. Bambang Permadi Soemantri Brodjonegoro, M.Sc. dan Anggun C. Sasmi.","[{""start"": 29, ""end"": 84, ""label"": ""PER""}, {""start"": 89, ""end"": 104, ""label"": ""PER""}]"
Gubernur DKI Jakarta sebelumnya adalah Luhut Binsar Pandjaitan.,"[{""start"": 39, ""end"": 62, ""label"": ""PER""}]"
@sergeybrin baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 11, ""label"": ""PER""}]"
Saya tinggal di Bogor sejak kecil.,[]
Gagasan yang dikemukakan oleh Anthony Albanese memicu perdebatan panjang.,"[{""start"": 30, ""end"": 46, ""label"": ""PER""}]"
"Rapat dihadiri oleh Karni Ilyas, Yasonna Laoly, Suharto, dan Ahmad Yani sore ini.","[{""start"": 20, ""end"": 31, ""label"": ""PER""}, {""start"": 33, ""end"": 46, ""label"": ""PER""}, {""start"": 48, ""end"": 55, ""label"": ""PER""}, {""start"": 61, ""end"": 71, ""label"": ""PER""}]"
Bunga semua diundang untuk hadir dalam acara tersebut.,[]
"Sesuai catatan sipil, domisili tercatat di Apartemen Taman Anggrek Residence Tower D Lantai 18, Malang.","[{""start"": 43, ""end"": 102, ""label"": ""ADR""}]"
"Tio menegaskan, ""kami akan terus berusaha.""","[{""start"": 0, ""end"": 3, ""label"": ""PER""}]"
Michael McDonald baru saja pindah dari Semarang.,"[{""start"": 0, ""end"": 16, ""label"": ""PER""}]"
Bunga mekar dengan indah di taman setiap pagi.,[]
Rapat tersebut dihadiri oleh Michael McDonald dan Doni.,"[{""start"": 29, ""end"": 45, ""label"": ""PER""}, {""start"": 50, ""end"": 54, ""label"": ""PER""}]"
Jangan lupa follow @joebiden untuk info terkini.,"[{""start"": 20, ""end"": 28, ""label"": ""PER""}]"
"Menurut I Gusti Ngurah Rai, ""keputusan ini sudah final.""","[{""start"": 8, ""end"": 26, ""label"": ""PER""}]"
"Paket untuk Puan Maharani dikirim ke Jl. Mangga Dua No. 51, RT 10/RW 18, Desa Cibogo, Makassar.","[{""start"": 12, ""end"": 25, ""label"": ""PER""}, {""start"": 37, ""end"": 94, ""label"": ""ADR""}]"
"Rapat RT akan diadakan di Jl. Cempaka Putih, RT 14/RW 17, Kel. Antapani, Jakarta.","[{""start"": 26, ""end"": 80, ""label"": ""ADR""}]"
"Alamat saya di Jalan Cempaka Putih No. 48B, RT 09/RW 05, Kel. Cihapit, Bogor.","[{""start"": 15, ""end"": 76, ""label"": ""ADR""}]"
"Panitia mengundang Ir. Djoko Kirmanto, Dipl.HE, Boyke Dian Nugraha, Sp.OG, Joe Taslim, dan Putri sebagai narasumber.","[{""start"": 19, ""end"": 46, ""label"": ""PER""}, {""start"": 48, ""end"": 73, ""label"": ""PER""}, {""start"": 75, ""end"": 85, ""label"": ""PER""}, {""start"": 91, ""end"": 96, ""label"": ""PER""}]"
Nomor kontak Gus Miftah bisa dihubungi melalui PT Astra International.,"[{""start"": 13, ""end"": 23, ""label"": ""PER""}]"
"Rumah beliau berada di Gg. Kenanga No. 200B, RT 15/RW 03, Kel. Tegalsari, Yogyakarta.","[{""start"": 23, ""end"": 84, ""label"": ""ADR""}]"
Kemarin mobilnya Dian Sastrowardoyo mogok di jalan tol.,"[{""start"": 17, ""end"": 35, ""label"": ""PER""}]"
"Rumah beliau berada di Gang Mangga Dua No. 175, RT 02/RW 18, Kel. Gubeng, Malang.","[{""start"": 23, ""end"": 80, ""label"": ""ADR""}]"
"Kost berada di Jalan Anggrek, RT 09/RW 15, Desa Sukamaju, Manado.","[{""start"": 15, ""end"": 64, ""label"": ""ADR""}]"
"Rumah kost berada di Jalan Cempaka Putih, Depok.","[{""start"": 21, ""end"": 47, ""label"": ""ADR""}]"
@anthonyalbanese baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 16, ""label"": ""PER""}]"
EKO DAN DIEGO MARADONA KOMPAK HADIR DALAM ACARA ITU.,"[{""start"": 0, ""end"": 3, ""label"": ""PER""}, {""start"": 8, ""end"": 22, ""label"": ""PER""}]"
"KTP atas nama Ruud van Nistelrooy beralamat di Jl. Kebon Jeruk No. 68, RT 01/RW 06, Kel. Antapani, Manado.","[{""start"": 14, ""end"": 33, ""label"": ""PER""}, {""start"": 47, ""end"": 105, ""label"": ""ADR""}]"
"Sesuai catatan sipil, domisili tercatat di Jl. Kebon Jeruk No. 134B, RT 02/RW 15, Kel. Antapani, Bogor.","[{""start"": 43, ""end"": 102, ""label"": ""ADR""}]"
"Alamat saya di Jl. Melati No. 162B, RT 19/RW 11, Kel. Cihapit, Bogor.","[{""start"": 15, ""end"": 68, ""label"": ""ADR""}]"
"Silakan kirim paket ke Dusun Tegalrejo RT 02/RW 09, Desa Cibogo, Kec. Tegalsari, Kab. Sleman.","[{""start"": 23, ""end"": 92, ""label"": ""ADR""}]"
"Menurut Direktur Utama Wawan, kebijakan ini akan segera direvisi.","[{""start"": 23, ""end"": 28, ""label"": ""PER""}]"
"Sesuai catatan sipil, domisili tercatat di 704 Sunset Road, Seoul, 21299, Korea Selatan.","[{""start"": 43, ""end"": 87, ""label"": ""ADR""}]"
KEBAKARAN HUTAN MELUAS DI KALIMANTAN.,[]
"Surat untuk Gatot Subroto dialamatkan ke Gg. Flamboyan, RT 19/RW 02, Kel. Antapani, Kec. Coblong, Yogyakarta, Kalimantan Timur, 31279.","[{""start"": 12, ""end"": 25, ""label"": ""PER""}, {""start"": 41, ""end"": 133, ""label"": ""ADR""}]"
"Menurut Ir. Soekarno dan dr. Reisa Broto Asmoro, kebijakan ini perlu direvisi.","[{""start"": 8, ""end"": 20, ""label"": ""PER""}, {""start"": 25, ""end"": 47, ""label"": ""PER""}]"
Suharto resmi menjabat sebagai Panglima TNI mulai bulan depan.,"[{""start"": 0, ""end"": 7, ""label"": ""PER""}]"
IA BARU SAJA PINDAH KE BALIKPAPAN.,[]
Tolong sampaikan pesan ini kepada Budi Gunadi Sadikin secepatnya.,"[{""start"": 34, ""end"": 53, ""label"": ""PER""}]"
"Raisa Andriana menegaskan, ""kami akan terus berusaha.""","[{""start"": 0, ""end"": 14, ""label"": ""PER""}]"
"Taufik Hidayat, Taylor Swift, serta Boediono kompak hadir dalam acara itu.","[{""start"": 0, ""end"": 14, ""label"": ""PER""}, {""start"": 16, ""end"": 28, ""label"": ""PER""}, {""start"": 36, ""end"": 44, ""label"": ""PER""}]"
"Rishi Sunak menegaskan, ""kami akan terus berusaha.""","[{""start"": 0, ""end"": 11, ""label"": ""PER""}]"
"Nama Lengkap: Anthony Albanese
Alamat: Dusun Krajan RT 09/RW 02, Kel. Menteng, Kec. Coblong, Kab. Malang.","[{""start"": 14, ""end"": 30, ""label"": ""PER""}, {""start"": 39, ""end"": 104, ""label"": ""ADR""}]"
"Wali Kota Surabaya, Tigor Silaban, meresmikan acara tersebut.","[{""start"": 20, ""end"": 33, ""label"": ""PER""}]"
"Silakan kirim paket ke 260 Lincoln Boulevard, New York, 14446, Amerika Serikat.","[{""start"": 23, ""end"": 78, ""label"": ""ADR""}]"
"Tim tersebut beranggotakan Dewi Anggraini, S.Psi., Psikolog, Albert Einstein, Ahmad Dhani, dan Ganjar Pranowo.","[{""start"": 27, ""end"": 59, ""label"": ""PER""}, {""start"": 61, ""end"": 76, ""label"": ""PER""}, {""start"": 78, ""end"": 89, ""label"": ""PER""}, {""start"": 95, ""end"": 109, ""label"": ""PER""}]"
@EKO BARU SAJA MENGUNGGAH FOTO LIBURANNYA.,"[{""start"": 1, ""end"": 4, ""label"": ""PER""}]"
"Menurut Franklin D. Roosevelt, kebijakan ini harus segera dievaluasi.","[{""start"": 8, ""end"": 29, ""label"": ""PER""}]"
Kantor cabang baru akan dibuka di DKI Jakarta.,[]
"Ia baru saja pindah ke Gg. Basuki Rahmat No. 132B, RT 16/RW 17, Kel. Tegalsari, Bogor.","[{""start"": 23, ""end"": 85, ""label"": ""ADR""}]"
"""Prancis adalah prioritas kita,"" kata Cut Nyak Dien.","[{""start"": 38, ""end"": 51, ""label"": ""PER""}]"
Kemarin saya bertemu dengan Cak Lontong di stasiun.,"[{""start"": 28, ""end"": 39, ""label"": ""PER""}]"
Usain Bolt berangkat ke kantor pagi ini.,"[{""start"": 0, ""end"": 10, ""label"": ""PER""}]"
Surat itu dikirim oleh Donald Trump di Depok minggu lalu.,"[{""start"": 23, ""end"": 35, ""label"": ""PER""}]"
Kami sedang menunggu tanda tangan dari Raisa Andriana untuk mencairkan dana.,"[{""start"": 39, ""end"": 53, ""label"": ""PER""}]"
Kemarin saya bertemu dengan Kamala Harris di KPK.,"[{""start"": 28, ""end"": 41, ""label"": ""PER""}]"
Kost mekar dengan indah di taman setiap pagi.,[]
